Created At: Month,Sum of TransactionAmount,Sum of TransactionCost ($),Count
"November, 2024",386.85,4.62,28
"December, 2024","9,475.18",112.39,32
"January, 2025","2,699.82",32.03,31
"February, 2025","3,294.84",39.10,31
"March, 2025","9,049.71",110.12,60
"April, 2025","4,487.88",57.60,51
"May, 2025","5,703.82",64.23,31
"June, 2025","3,231.88",41.57,37
"July, 2025","5,798.93",74.47,34
"August, 2025","2,073.07",26.65,20
"September, 2025","1,751.52",22.51,24
"October, 2025","2,497.7",32.06,14
"November, 2025","31,182.49",293.65,21
"December, 2025","33,024.01",302.21,275
"January, 2026","67,512.35",867.10,448
"February, 2026","122,503.12","1,572.77",430
"March, 2026","3,471.64",44.60,38
